ID,Complaint,Department
4321,Open manhole causing danger on Gandhi Street in Pallavaram,Public Safety
4322,Hospital in the industrial estate lacks cleanliness and hygiene,Health
4323,Teacher is absent regularly at the Kolathur government school,Education
4324,Ambulance service is delayed in Adyar,Health
4325,Ambulance service is delayed in Porur,Health
4326,Traffic signal timing is too short at Gandhi Street,Traffic
4327,Street lights are not working on School Lane in Saidapet,Street Lighting
4328,2 street lights have been off for weeks near Main Road,Street Lighting
4329,Textbooks not distributed on time in Nungambakkam schools,Education
4330,Public dustbin near South Street is broken and overflowing,Waste Management
4331,School lacks drinking water facility in the old bus stand area,Education
4332,There is no drinking water in Ward 12 for the past 4 days,Water Supply
4333,Leaking pipeline is wasting water on Station Road,Water Supply
4334,Water tanker did not arrive in Ward 12 as scheduled,Water Supply
4335,There is no drinking water in the government school area for the past 2 days,Water Supply
4336,Illegal sand mining reported near Vadapalani,Environment
4337,Money was demanded for processing a pension application in Guindy,Corruption
4338,Street light wiring is exposed and dangerous in the panchayat office area,Street Lighting
4339,"No footpath available on Church Street, pedestrians face danger",Road Maintenance
4340,Burning of waste is causing smoke in Ward 12,Environment
4341,10 street lights have been off for weeks near Station Road,Street Lighting
4342,Corruption reported in distribution of government scheme benefits in Block C,Corruption
4343,Street light wiring is exposed and dangerous in Chromepet,Street Lighting
4344,No traffic police present at busy junction near Bypass Road,Traffic
4345,Huge potholes on MG Road in Royapettah,Road Maintenance
4346,"Street lights remain on during daytime in Kodambakkam, wasting power",Street Lighting
4347,Bus stop shelter near Nehru Street is damaged,Public Transport
4348,Billing error in electricity charges for the main market road residents,Electricity
4349,Electric pole near South Street is leaning dangerously,Electricity
4350,No specialist doctor visits the T Nagar health center,Health
4351,Public dustbin near South Street is broken and overflowing,Waste Management
4352,Speed breakers are missing near the school on North Street,Road Maintenance
4353,No specialist doctor visits the Vadapalani health center,Health
4354,Deep pit left uncovered near North Street in the panchayat office area,Public Safety
4355,Corruption reported in distribution of government scheme benefits in T Nagar,Corruption
4356,Water tanker did not arrive in the housing board colony as scheduled,Water Supply
4357,No waste collection service provided in Nungambakkam colony,Waste Management
4358,Frequent traffic congestion on Church Street during peak hours,Traffic
4359,Teacher is absent regularly at the the railway station road government school,Education
4360,Vaccination camp was cancelled without notice in Egmore,Health
4361,Vaccination camp was cancelled without notice in Egmore,Health
4362,Bus conductor misbehaved with passengers on Ambattur route,Public Transport
4363,Primary health center in Tambaram is understaffed,Health
4364,"New street light pole is needed on Church Street, Kolathur",Street Lighting
4365,Long waiting times reported at Kolathur government hospital,Health
4366,Teacher is absent regularly at the Sector 5 government school,Education
4367,Illegal dumping of waste is happening near Ring Road,Waste Management
4368,Waterlogging occurs on Temple Street during rains,Road Maintenance
4369,Frequent traffic congestion on Bypass Road during peak hours,Traffic
4370,Vaccination camp was cancelled without notice in the industrial estate,Health
4371,Noise pollution from construction near Bypass Road at night,Environment
4372,Street light wiring is exposed and dangerous in T Nagar,Street Lighting
4373,"No signal at the school crossing near South Street, Guindy",Traffic
4374,Garbage is overflowing near Station Road in Adyar,Waste Management
4375,Traffic signal timing is too short at Main Road,Traffic
4376,"No signal at the school crossing near Station Road, Kolathur",Traffic
4377,Leaking pipeline is wasting water on Bazaar Street,Water Supply
4378,Water supply has been irregular in Guindy for 7 weeks,Water Supply
4379,Plastic waste dumped near the water body in Guindy,Environment
4380,Unsafe construction site near Bypass Road lacks barricades,Public Safety
4381,Unsafe construction site near MG Road lacks barricades,Public Safety
4382,Electricity is unavailable in the old bus stand area for the past 14 days,Electricity
4383,Textbooks not distributed on time in Anna Nagar schools,Education
4384,Unsafe construction site near Ring Road lacks barricades,Public Safety
4385,Newly laid road on Bazaar Street is already damaged,Road Maintenance
4386,Frequent traffic congestion on Church Street during peak hours,Traffic
4387,Exposed wires near Nehru Street pose a danger to residents,Electricity
4388,Last bus timing has been cancelled for near the temple,Public Transport
4389,Stray dogs are attacking residents in Saidapet,Public Safety
4390,Speed breakers are missing near the school on Nehru Street,Road Maintenance
4391,Mid day meal quality is poor at the industrial estate school,Education
4392,"Low water pressure reported near South Street, Egmore",Water Supply
4393,Encroachment on the lake near the government school area is destroying wetlands,Environment
4394,"Street lights remain on during daytime in Saidapet, wasting power",Street Lighting
4395,Borewell in Kolathur has run dry,Water Supply
4396,No security personnel at the public park in the industrial estate,Public Safety
4397,Primary health center in Ambattur is understaffed,Health
4398,Last bus timing has been cancelled for Kolathur,Public Transport
4399,Vaccination camp was cancelled without notice in Kolathur,Health
4400,Newly laid road on Park Avenue is already damaged,Road Maintenance
4401,Illegal parking is causing traffic jams on Main Road,Traffic
4402,Illegal sand mining reported near Porur,Environment
4403,Long waiting times reported at Saidapet government hospital,Health
4404,"No footpath available on Market Road, pedestrians face danger",Road Maintenance
4405,Water body near Porur is being polluted by industrial waste,Environment
4406,"Low water pressure reported near Main Road, Pallavaram",Water Supply
4407,Borewell in Tambaram has run dry,Water Supply
4408,Teacher is absent regularly at the the old bus stand area government school,Education
4409,Bus service is irregular on the Phase 2 route,Public Transport
4410,Bus conductor misbehaved with passengers on Saidapet route,Public Transport
4411,Deep pit left uncovered near Park Avenue in Kolathur,Public Safety
4412,Official at the Saidapet office is demanding money for a certificate,Corruption
4413,No waste collection service provided in Alwarpet colony,Waste Management
4414,Official at the Pallavaram office is demanding money for a certificate,Corruption
4415,No waste collection service provided in Mylapore colony,Waste Management
4416,"Low water pressure reported near Park Avenue, Ward 12",Water Supply
4417,Illegal parking is causing traffic jams on Church Street,Traffic
4418,Vaccination camp was cancelled without notice in T Nagar,Health
4419,Hospital in Kodambakkam lacks cleanliness and hygiene,Health
4420,Vaccination camp was cancelled without notice in the panchayat office area,Health
4421,"New street light pole is needed on Gandhi Street, Vadapalani",Street Lighting
4422,Water supply has been irregular in Alwarpet for 10 weeks,Water Supply
4423,Road divider near Church Street is broken,Road Maintenance
4424,Street light wiring is exposed and dangerous in Velachery,Street Lighting
4425,Ambulance service is delayed in near the temple,Health
4426,Hospital in T Nagar lacks cleanliness and hygiene,Health
4427,No waste collection service provided in the main market road colony,Waste Management
4428,No bus service available to Perambur after 8 pm,Public Transport
4429,Stray dogs are attacking residents in Phase 2,Public Safety
4430,"Traffic signal is damaged at Nehru Street junction, the railway station road",Traffic
4431,Billing error in electricity charges for the housing board colony residents,Electricity
4432,Dead animal left uncollected on School Lane in Alwarpet,Waste Management
4433,Air pollution levels are high near the factory in T Nagar,Environment
4434,New electricity connection is delayed in the panchayat office area,Electricity
4435,"New street light pole is needed on Market Road, T Nagar",Street Lighting
4436,Burning of waste is causing smoke in T Nagar,Environment
4437,Open manhole causing danger on Bazaar Street in the panchayat office area,Public Safety
4438,Newly laid road on Ring Road is already damaged,Road Maintenance
4439,"Street lights remain on during daytime in the industrial estate, wasting power",Street Lighting
4440,Road near Temple Street has not been repaired after monsoon,Road Maintenance
4441,Bus stop shelter near Bazaar Street is damaged,Public Transport
4442,Billing error in electricity charges for Nungambakkam residents,Electricity
4443,"Street lights remain on during daytime in Perambur, wasting power",Street Lighting
4444,Plastic waste dumped near the water body in Egmore,Environment
4445,Dark stretch on Station Road due to broken street lights,Street Lighting
4446,Ambulance service is delayed in Perambur,Health
4447,Traffic signal timing is too short at South Street,Traffic
4448,Hospital in Egmore has no doctors available,Health
4449,Water tanker did not arrive in Pallavaram as scheduled,Water Supply
4450,Road divider near North Street is broken,Road Maintenance
4451,Broken compound wall near Station Road is a safety hazard,Public Safety
4452,Electric pole near South Street is leaning dangerously,Electricity
4453,Zebra crossing markings have faded on North Street,Traffic
4454,Noise pollution from construction near Market Road at night,Environment
4455,School in Sector 5 lacks proper toilet facilities,Education
4456,Textbooks not distributed on time in Porur schools,Education
4457,Long waiting times reported at Alwarpet government hospital,Health
4458,Government hospital near Ring Road lacks basic medicines,Health
4459,"Traffic signal is damaged at Gandhi Street junction, Chromepet",Traffic
4460,A local shopkeeper is taking bribes for water connection approvals in Alwarpet,Corruption
4461,11 street lights have been off for weeks near North Street,Street Lighting
4462,Water tanker did not arrive in Perambur as scheduled,Water Supply
4463,"No signal at the school crossing near North Street, the railway station road",Traffic
4464,"No signal at the school crossing near School Lane, Anna Nagar",Traffic
4465,Deep pit left uncovered near Main Road in Egmore,Public Safety
4466,Water body near Kodambakkam is being polluted by industrial waste,Environment
4467,Unsafe construction site near Nehru Street lacks barricades,Public Safety
4468,Money was demanded for processing a pension application in the main market road,Corruption
4469,Deep pit left uncovered near Bazaar Street in Porur,Public Safety
4470,Water body near Kolathur is being polluted by industrial waste,Environment
4471,Official at the the government school area office is demanding money for a certificate,Corruption
4472,Bus service is irregular on the Guindy route,Public Transport
4473,"Traffic signal is damaged at Ring Road junction, Perambur",Traffic
4474,Power supply tripped and not restored for 6 hours in Ward 12,Electricity
4475,No water connection provided despite application in Guindy,Water Supply
4476,Government hospital near Station Road lacks basic medicines,Health
4477,Zebra crossing markings have faded on Station Road,Traffic
4478,Long waiting times reported at Anna Nagar government hospital,Health
4479,Encroachment on the lake near the industrial estate is destroying wetlands,Environment
4480,Zebra crossing markings have faded on Gandhi Street,Traffic
4481,Deep pit left uncovered near Station Road in Alwarpet,Public Safety
4482,Illegal sand mining reported near the old bus stand area,Environment
4483,Deep pit left uncovered near Gandhi Street in Vadapalani,Public Safety
4484,Bribe was demanded for issuing a building permit in the railway station road,Corruption
4485,Dark stretch on Park Avenue due to broken street lights,Street Lighting
4486,Abandoned building near Bazaar Street is unsafe for children,Public Safety
4487,Air pollution levels are high near the factory in Vadapalani,Environment
4488,Street lights are not working on North Street in Royapettah,Street Lighting
4489,Burning of waste is causing smoke in Vadapalani,Environment
4490,School lacks drinking water facility in Kolathur,Education
4491,Newly laid road on Bazaar Street is already damaged,Road Maintenance
4492,Illegal parking is causing traffic jams on Market Road,Traffic
4493,Dead animal left uncollected on Bazaar Street in the housing board colony,Waste Management
4494,Frequent traffic congestion on Main Road during peak hours,Traffic
4495,Illegal tree cutting is happening near Bypass Road in Nungambakkam,Environment
4496,Bribe was demanded for issuing a building permit in Velachery,Corruption
4497,Waterlogging occurs on Gandhi Street during rains,Road Maintenance
4498,"Street lights remain on during daytime in Nungambakkam, wasting power",Street Lighting
4499,2 street lights have been off for weeks near North Street,Street Lighting
4500,Plastic waste dumped near the water body in the industrial estate,Environment
4501,Huge potholes on South Street in Nungambakkam,Road Maintenance
4502,Mid day meal quality is poor at the industrial estate school,Education
4503,No traffic police present at busy junction near Ring Road,Traffic
4504,No traffic police present at busy junction near Park Avenue,Traffic
4505,Road near Ring Road has not been repaired after monsoon,Road Maintenance
4506,No specialist doctor visits the T Nagar health center,Health
4507,No traffic police present at busy junction near Park Avenue,Traffic
4508,"Traffic signal is damaged at Main Road junction, Phase 2",Traffic
4509,A local shopkeeper is taking bribes for water connection approvals in Royapettah,Corruption
4510,"Traffic signal is damaged at Temple Street junction, Block C",Traffic
4511,Last bus timing has been cancelled for Ambattur,Public Transport
4512,School lacks drinking water facility in Velachery,Education
4513,Stray dogs are attacking residents in Sector 5,Public Safety
4514,Electric pole near Gandhi Street is leaning dangerously,Electricity
4515,No bus service available to the government school area after 8 pm,Public Transport
4516,Water pipe burst near Park Avenue in Saidapet,Water Supply
4517,"No footpath available on Nehru Street, pedestrians face danger",Road Maintenance
4518,Illegal sand mining reported near Block C,Environment
4519,Road divider near Main Road is broken,Road Maintenance
4520,Signboards are missing at the Market Road intersection,Traffic
4521,Water tanker did not arrive in Guindy as scheduled,Water Supply
4522,Bus conductor misbehaved with passengers on the industrial estate route,Public Transport
4523,Water supply has been irregular in Perambur for 12 weeks,Water Supply
4524,Deep pit left uncovered near MG Road in the housing board colony,Public Safety
4525,Speed breakers are missing near the school on Bazaar Street,Road Maintenance
4526,8 street lights have been off for weeks near Temple Street,Street Lighting
4527,Exposed wires near Nehru Street pose a danger to residents,Electricity
4528,Frequent power cuts are occurring in the old bus stand area,Electricity
4529,A government official asked for extra money to process ration card in Kolathur,Corruption
4530,Ambulance service is delayed in the old bus stand area,Health
4531,Waterlogging occurs on Nehru Street during rains,Road Maintenance
4532,Hospital in the government school area has no doctors available,Health
4533,Billing error in electricity charges for Mylapore residents,Electricity
4534,Streetside electric meter is sparking in Kodambakkam,Electricity
4535,Street lights are not working on Nehru Street in Alwarpet,Street Lighting
4536,Signboards are missing at the School Lane intersection,Traffic
4537,Dead animal left uncollected on Temple Street in near the temple,Waste Management
4538,School building near North Street needs urgent repair,Education
4539,A government official asked for extra money to process ration card in Adyar,Corruption
4540,Auto drivers are refusing to use the meter near Nehru Street,Public Transport
4541,"No signal at the school crossing near Temple Street, Tambaram",Traffic
4542,Frequent traffic congestion on Nehru Street during peak hours,Traffic
4543,Money was demanded for processing a pension application in Alwarpet,Corruption
4544,Electricity is unavailable in Kodambakkam for the past 8 days,Electricity
4545,Primary health center in Chromepet is understaffed,Health
4546,Construction debris left on Station Road blocking traffic,Road Maintenance
4547,There is no drinking water in Block C for the past 3 days,Water Supply
4548,Overcrowded classrooms reported in Tambaram government school,Education
4549,Bus stop shelter near Bazaar Street is damaged,Public Transport
4550,Ambulance service is delayed in Royapettah,Health
4551,Dumping ground near the railway station road is causing bad odor,Waste Management
4552,Power supply tripped and not restored for 10 hours in the panchayat office area,Electricity
4553,Segregated waste is being mixed by collection staff in the main market road,Waste Management
4554,Burning of waste is causing smoke in near the temple,Environment
4555,Bus frequency has reduced drastically on Royapettah route,Public Transport
4556,School in Vadapalani lacks proper toilet facilities,Education
4557,Speed breakers are missing near the school on North Street,Road Maintenance
4558,Overcrowded buses are running on the Nungambakkam route,Public Transport
4559,Plastic waste dumped near the water body in Pallavaram,Environment
4560,Official at the the railway station road office is demanding money for a certificate,Corruption
4561,Long waiting times reported at T Nagar government hospital,Health
4562,Zebra crossing markings have faded on Park Avenue,Traffic
4563,Streetside electric meter is sparking in Vadapalani,Electricity
4564,11 street lights have been off for weeks near Church Street,Street Lighting
4565,Street light flickers continuously on Station Road,Street Lighting
4566,Money was demanded for processing a pension application in Velachery,Corruption
4567,Water tanker did not arrive in Mylapore as scheduled,Water Supply
4568,Street lights are not working on Temple Street in Sector 5,Street Lighting
4569,Waterlogging occurs on Main Road during rains,Road Maintenance
4570,School building near Gandhi Street needs urgent repair,Education
4571,Illegal sand mining reported near Tambaram,Environment
4572,Public dustbin near Station Road is broken and overflowing,Waste Management
4573,No security personnel at the public park in Nungambakkam,Public Safety
4574,Speed breakers are missing near the school on Ring Road,Road Maintenance
4575,Water tanker did not arrive in Pallavaram as scheduled,Water Supply
4576,Hospital in the railway station road has no doctors available,Health
4577,Live wire lying on Station Road poses electrocution risk,Public Safety
4578,Corruption reported in distribution of government scheme benefits in Pallavaram,Corruption
4579,Official at the Guindy office is demanding money for a certificate,Corruption
4580,School building near Ring Road needs urgent repair,Education
4581,"New street light pole is needed on MG Road, Nungambakkam",Street Lighting
4582,Plastic waste dumped near the water body in Kolathur,Environment
4583,"Street lights remain on during daytime in Ward 12, wasting power",Street Lighting
4584,Government hospital near School Lane lacks basic medicines,Health
4585,New electricity connection is delayed in Sector 5,Electricity
4586,Long waiting times reported at T Nagar government hospital,Health
4587,Auto drivers are refusing to use the meter near Ring Road,Public Transport
4588,Illegal parking is causing traffic jams on South Street,Traffic
4589,Illegal sand mining reported near Sector 5,Environment
4590,Money was demanded for processing a pension application in the industrial estate,Corruption
4591,Dead animal left uncollected on Temple Street in Porur,Waste Management
4592,Leaking pipeline is wasting water on School Lane,Water Supply
4593,Bus frequency has reduced drastically on near the temple route,Public Transport
4594,Street lights are not working on Main Road in Ambattur,Street Lighting
4595,School building near Market Road needs urgent repair,Education
4596,Bus conductor misbehaved with passengers on Pallavaram route,Public Transport
4597,Open manhole causing danger on MG Road in Vadapalani,Public Safety
4598,Frequent power cuts are occurring in Ambattur,Electricity
4599,Bus service is irregular on the Anna Nagar route,Public Transport
4600,Segregated waste is being mixed by collection staff in Egmore,Waste Management
4601,Public dustbin near Bypass Road is broken and overflowing,Waste Management
4602,Waterlogging occurs on South Street during rains,Road Maintenance
4603,Water body near Nungambakkam is being polluted by industrial waste,Environment
4604,Broken compound wall near Gandhi Street is a safety hazard,Public Safety
4605,10 street lights have been off for weeks near MG Road,Street Lighting
4606,Garbage collection truck has not come to the old bus stand area for 7 days,Waste Management
4607,Construction debris left on Bypass Road blocking traffic,Road Maintenance
4608,Official at the Porur office is demanding money for a certificate,Corruption
4609,Garbage collection truck has not come to the government school area for 15 days,Waste Management
4610,Garbage collection truck has not come to Ward 12 for 6 days,Waste Management
4611,Air pollution levels are high near the factory in the industrial estate,Environment
4612,An officer at the counter asked for extra money to process ration card in Kolathur,Corruption
4613,Burning of waste is causing smoke in Saidapet,Environment
4614,"Low water pressure reported near South Street, Chromepet",Water Supply
4615,Street light flickers continuously on Gandhi Street,Street Lighting
4616,3 street lights have been off for weeks near Temple Street,Street Lighting
4617,Mid day meal quality is poor at near the temple school,Education
4618,Bus frequency has reduced drastically on Vadapalani route,Public Transport
4619,Garbage is overflowing near Bypass Road in Egmore,Waste Management
4620,No specialist doctor visits the Ward 12 health center,Health
4621,School building near South Street needs urgent repair,Education
4622,Water body near the housing board colony is being polluted by industrial waste,Environment
4623,Huge potholes on Main Road in Pallavaram,Road Maintenance
4624,Dead animal left uncollected on Church Street in Chromepet,Waste Management
4625,Newly laid road on Market Road is already damaged,Road Maintenance
4626,Hospital in Tambaram lacks cleanliness and hygiene,Health
4627,Newly laid road on Church Street is already damaged,Road Maintenance
4628,Noise pollution from construction near Bypass Road at night,Environment
4629,Garbage is overflowing near Market Road in Pallavaram,Waste Management
4630,Abandoned building near Bypass Road is unsafe for children,Public Safety
4631,Dark stretch on Bazaar Street due to broken street lights,Street Lighting
4632,Noise pollution from construction near Bazaar Street at night,Environment
4633,Dead animal left uncollected on Ring Road in Royapettah,Waste Management
4634,School in Block C lacks proper toilet facilities,Education
4635,School lacks drinking water facility in Velachery,Education
4636,Bus service is irregular on the Ward 12 route,Public Transport
4637,Newly laid road on North Street is already damaged,Road Maintenance
4638,Road divider near Church Street is broken,Road Maintenance
4639,Illegal parking is causing traffic jams on Station Road,Traffic
4640,"Low water pressure reported near Gandhi Street, Velachery",Water Supply
4641,Billing error in electricity charges for Porur residents,Electricity
4642,Water supply has been irregular in Kodambakkam for 3 weeks,Water Supply
4643,Corruption reported in distribution of government scheme benefits in Nungambakkam,Corruption
4644,Overhead tank in the government school area has not been cleaned in months,Water Supply
4645,Dead animal left uncollected on Ring Road in the main market road,Waste Management
4646,Air pollution levels are high near the factory in Anna Nagar,Environment
4647,Broken compound wall near MG Road is a safety hazard,Public Safety
4648,Billing error in electricity charges for the government school area residents,Electricity
4649,Illegal dumping of waste is happening near MG Road,Waste Management
4650,There is no drinking water in Guindy for the past 10 days,Water Supply
4651,Huge potholes on South Street in Velachery,Road Maintenance
4652,Overcrowded classrooms reported in Phase 2 government school,Education
4653,Overcrowded classrooms reported in the main market road government school,Education
4654,Bus conductor misbehaved with passengers on Ward 12 route,Public Transport
4655,Last bus timing has been cancelled for Egmore,Public Transport
4656,Corruption reported in distribution of government scheme benefits in Tambaram,Corruption
4657,Official at the Egmore office is demanding money for a certificate,Corruption
4658,Illegal dumping of waste is happening near MG Road,Waste Management
4659,Burning of waste is causing smoke in Guindy,Environment
4660,School in Anna Nagar lacks proper toilet facilities,Education
4661,School lacks drinking water facility in Velachery,Education
4662,Exposed wires near Main Road pose a danger to residents,Electricity
4663,There is no drinking water in Perambur for the past 8 days,Water Supply
4664,No specialist doctor visits the Velachery health center,Health
4665,Auto drivers are refusing to use the meter near Temple Street,Public Transport
4666,Transformer near Nehru Street in near the temple is not working,Electricity
4667,No bus service available to Chromepet after 8 pm,Public Transport
4668,Unsafe construction site near Gandhi Street lacks barricades,Public Safety
4669,Illegal dumping of waste is happening near MG Road,Waste Management
4670,Money was demanded for processing a pension application in Velachery,Corruption
4671,Street light flickers continuously on Ring Road,Street Lighting
4672,Garbage collection truck has not come to Saidapet for 4 days,Waste Management
4673,"Traffic signal is damaged at Gandhi Street junction, Mylapore",Traffic
4674,Streetside electric meter is sparking in Pallavaram,Electricity
4675,Government hospital near South Street lacks basic medicines,Health
4676,Street light wiring is exposed and dangerous in Ward 12,Street Lighting
4677,"New street light pole is needed on Gandhi Street, Egmore",Street Lighting
4678,Public dustbin near Park Avenue is broken and overflowing,Waste Management
4679,There is no drinking water in Ward 12 for the past 14 days,Water Supply
4680,Bus conductor misbehaved with passengers on Anna Nagar route,Public Transport
4681,Waterlogging occurs on Temple Street during rains,Road Maintenance
4682,Garbage is overflowing near South Street in Sector 5,Waste Management
4683,Official at the Vadapalani office is demanding money for a certificate,Corruption
4684,No water connection provided despite application in Anna Nagar,Water Supply
4685,Exposed wires near Market Road pose a danger to residents,Electricity
4686,Abandoned building near School Lane is unsafe for children,Public Safety
4687,Hospital in the panchayat office area lacks cleanliness and hygiene,Health
4688,Street light wiring is exposed and dangerous in Porur,Street Lighting
4689,Mid day meal quality is poor at Vadapalani school,Education
4690,Illegal parking is causing traffic jams on Main Road,Traffic
4691,Segregated waste is being mixed by collection staff in Pallavaram,Waste Management
4692,School building near Bypass Road needs urgent repair,Education
4693,Water pipe burst near Park Avenue in near the temple,Water Supply
4694,Stray dogs are attacking residents in T Nagar,Public Safety
4695,Official at the Adyar office is demanding money for a certificate,Corruption
4696,Stray dogs are attacking residents in Ambattur,Public Safety
4697,Frequent traffic congestion on Gandhi Street during peak hours,Traffic
4698,No waste collection service provided in Anna Nagar colony,Waste Management
4699,Long waiting times reported at Adyar government hospital,Health
4700,Zebra crossing markings have faded on North Street,Traffic
4701,No traffic police present at busy junction near Park Avenue,Traffic
4702,An officer at the counter asked for extra money to process ration card in Ward 12,Corruption
4703,Bus frequency has reduced drastically on Chromepet route,Public Transport
4704,Transformer near Station Road in T Nagar is not working,Electricity
4705,Road divider near Main Road is broken,Road Maintenance
4706,No specialist doctor visits the the housing board colony health center,Health
4707,School lacks drinking water facility in Egmore,Education
4708,Long waiting times reported at Porur government hospital,Health
4709,Dumping ground near Royapettah is causing bad odor,Waste Management
4710,Huge potholes on South Street in the main market road,Road Maintenance
4711,Primary health center in Vadapalani is understaffed,Health
4712,Dead animal left uncollected on Church Street in the main market road,Waste Management
4713,Water tanker did not arrive in the industrial estate as scheduled,Water Supply
4714,Water supply has been irregular in Saidapet for 15 weeks,Water Supply
4715,Illegal tree cutting is happening near Temple Street in Mylapore,Environment
4716,Road near North Street has not been repaired after monsoon,Road Maintenance
4717,There is no drinking water in Ambattur for the past 9 days,Water Supply
4718,Illegal tree cutting is happening near Park Avenue in Anna Nagar,Environment
4719,Government hospital near Bazaar Street lacks basic medicines,Health
4720,Public dustbin near Bazaar Street is broken and overflowing,Waste Management
4721,Bus frequency has reduced drastically on Egmore route,Public Transport
4722,Plastic waste dumped near the water body in Pallavaram,Environment
4723,Textbooks not distributed on time in the industrial estate schools,Education
4724,School building near South Street needs urgent repair,Education
4725,Burning of waste is causing smoke in Vadapalani,Environment
4726,Government hospital near North Street lacks basic medicines,Health
4727,"No signal at the school crossing near North Street, Tambaram",Traffic
4728,Public dustbin near Station Road is broken and overflowing,Waste Management
4729,Bus conductor misbehaved with passengers on Egmore route,Public Transport
4730,Garbage collection truck has not come to the housing board colony for 11 days,Waste Management
4731,"No footpath available on Main Road, pedestrians face danger",Road Maintenance
4732,School lacks drinking water facility in Sector 5,Education
4733,Long waiting times reported at Adyar government hospital,Health
4734,Open manhole causing danger on School Lane in Perambur,Public Safety
4735,Borewell in Sector 5 has run dry,Water Supply
4736,Water body near the old bus stand area is being polluted by industrial waste,Environment
4737,Zebra crossing markings have faded on Main Road,Traffic
4738,Electric pole near Market Road is leaning dangerously,Electricity
4739,New electricity connection is delayed in Velachery,Electricity
4740,Contaminated water is being supplied in Perambur,Water Supply
4741,Bus service is irregular on the Pallavaram route,Public Transport
4742,Live wire lying on Station Road poses electrocution risk,Public Safety
4743,"No footpath available on Gandhi Street, pedestrians face danger",Road Maintenance
4744,A clerk is taking bribes for water connection approvals in the railway station road,Corruption
4745,Waterlogging occurs on Bypass Road during rains,Road Maintenance
4746,A clerk is taking bribes for water connection approvals in Saidapet,Corruption
4747,Garbage collection truck has not come to the old bus stand area for 13 days,Waste Management
4748,Last bus timing has been cancelled for Kolathur,Public Transport
4749,"No signal at the school crossing near Market Road, Chromepet",Traffic
4750,Stray dogs are attacking residents in T Nagar,Public Safety
4751,Broken compound wall near Bypass Road is a safety hazard,Public Safety
4752,No water connection provided despite application in the panchayat office area,Water Supply
4753,No bus service available to Perambur after 8 pm,Public Transport
4754,Burning of waste is causing smoke in Kolathur,Environment
4755,Unsafe construction site near Temple Street lacks barricades,Public Safety
4756,No science teacher appointed at Pallavaram school for 6 months,Education
4757,"New street light pole is needed on Nehru Street, the panchayat office area",Street Lighting
4758,Hospital in Velachery lacks cleanliness and hygiene,Health
4759,Water body near T Nagar is being polluted by industrial waste,Environment
4760,A local shopkeeper asked for extra money to process ration card in Kolathur,Corruption
4761,No waste collection service provided in the government school area colony,Waste Management
4762,Water pipe burst near Ring Road in Kodambakkam,Water Supply
4763,Waterlogging occurs on School Lane during rains,Road Maintenance
4764,School building near North Street needs urgent repair,Education
4765,Textbooks not distributed on time in Pallavaram schools,Education
4766,Deep pit left uncovered near Temple Street in Ward 12,Public Safety
4767,No specialist doctor visits the Block C health center,Health
4768,School building near MG Road needs urgent repair,Education
4769,Dead animal left uncollected on Bazaar Street in Kodambakkam,Waste Management
4770,"No signal at the school crossing near School Lane, Adyar",Traffic
4771,Public dustbin near Church Street is broken and overflowing,Waste Management
4772,Billing error in electricity charges for Nungambakkam residents,Electricity
4773,Government hospital near Ring Road lacks basic medicines,Health
4774,Broken compound wall near Gandhi Street is a safety hazard,Public Safety
4775,Water supply has been irregular in Block C for 4 weeks,Water Supply
4776,Illegal tree cutting is happening near Nehru Street in Egmore,Environment
4777,Bus stop shelter near MG Road is damaged,Public Transport
4778,Garbage is overflowing near Ring Road in Sector 5,Waste Management
4779,Voltage fluctuation is damaging appliances in Chromepet,Electricity
4780,Encroachment on the lake near the old bus stand area is destroying wetlands,Environment
4781,Power supply tripped and not restored for 14 hours in Vadapalani,Electricity
4782,"Traffic signal is damaged at Main Road junction, Phase 2",Traffic
4783,Newly laid road on Station Road is already damaged,Road Maintenance
4784,Vaccination camp was cancelled without notice in Pallavaram,Health
4785,Ambulance service is delayed in near the temple,Health
4786,Dark stretch on North Street due to broken street lights,Street Lighting
4787,Illegal parking is causing traffic jams on Station Road,Traffic
4788,Live wire lying on Main Road poses electrocution risk,Public Safety
4789,Street light flickers continuously on Temple Street,Street Lighting
4790,Street light wiring is exposed and dangerous in Ambattur,Street Lighting
4791,Plastic waste dumped near the water body in Phase 2,Environment
4792,Dark stretch on Park Avenue due to broken street lights,Street Lighting
4793,Unsafe construction site near Park Avenue lacks barricades,Public Safety
4794,Official at the the main market road office is demanding money for a certificate,Corruption
4795,Primary health center in Chromepet is understaffed,Health
4796,Dead animal left uncollected on Bypass Road in the housing board colony,Waste Management
4797,No security personnel at the public park in the panchayat office area,Public Safety
4798,A middleman asked for extra money to process ration card in Porur,Corruption
4799,Frequent power cuts are occurring in Anna Nagar,Electricity
4800,Billing error in electricity charges for Perambur residents,Electricity
4801,School building near Ring Road needs urgent repair,Education
4802,Last bus timing has been cancelled for the railway station road,Public Transport
4803,Bus conductor misbehaved with passengers on Ward 12 route,Public Transport
4804,"Traffic signal is damaged at Bypass Road junction, Kolathur",Traffic
4805,Burning of waste is causing smoke in Block C,Environment
4806,Street lights are not working on MG Road in Tambaram,Street Lighting
4807,Traffic signal timing is too short at Bazaar Street,Traffic
4808,Vaccination camp was cancelled without notice in Guindy,Health
