Complaint,Department,Label
No specialist doctor visits the the government school area health center,Health,4
Bus conductor misbehaved with passengers on Porur route,Public Transport,6
Plastic waste dumped near the water body in Royapettah,Environment,3
No security personnel at the public park in Kodambakkam,Public Safety,5
Water supply has been irregular in Sector 5 for 9 weeks,Water Supply,11
Voltage fluctuation is damaging appliances in Pallavaram,Electricity,2
Traffic signal timing is too short at Temple Street,Traffic,9
A middleman is taking bribes for water connection approvals in Kodambakkam,Corruption,0
Plastic waste dumped near the water body in Mylapore,Environment,3
A middleman asked for extra money to process ration card in the industrial estate,Corruption,0
Street light wiring is exposed and dangerous in Chromepet,Street Lighting,8
Street lights are not working on Bazaar Street in T Nagar,Street Lighting,8
New electricity connection is delayed in Ambattur,Electricity,2
Someone demanded a bribe for approval of a document in the main market road,Corruption,0
Road near Nehru Street has not been repaired after monsoon,Road Maintenance,7
No science teacher appointed at Velachery school for 12 months,Education,1
A local shopkeeper asked for extra money to process ration card in the industrial estate,Corruption,0
Textbooks not distributed on time in Block C schools,Education,1
"Street lights remain on during daytime in Anna Nagar, wasting power",Street Lighting,8
Frequent traffic congestion on Park Avenue during peak hours,Traffic,9
Water tanker did not arrive in the housing board colony as scheduled,Water Supply,11
Road near MG Road has not been repaired after monsoon,Road Maintenance,7
Street lights are not working on Gandhi Street in Anna Nagar,Street Lighting,8
Contaminated water is being supplied in Phase 2,Water Supply,11
No specialist doctor visits the the railway station road health center,Health,4
Overcrowded classrooms reported in Nungambakkam government school,Education,1
Exposed wires near Temple Street pose a danger to residents,Electricity,2
Newly laid road on Main Road is already damaged,Road Maintenance,7
Vaccination camp was cancelled without notice in Anna Nagar,Health,4
Illegal parking is causing traffic jams on Church Street,Traffic,9
9 street lights have been off for weeks near MG Road,Street Lighting,8
There is no drinking water in Nungambakkam for the past 2 days,Water Supply,11
Primary health center in the government school area is understaffed,Health,4
Bus frequency has reduced drastically on Perambur route,Public Transport,6
Live wire lying on Nehru Street poses electrocution risk,Public Safety,5
Corruption reported in distribution of government scheme benefits in Nungambakkam,Corruption,0
Mid day meal quality is poor at Alwarpet school,Education,1
Solar street lights installed in Nungambakkam are non functional,Street Lighting,8
Waterlogging occurs on Temple Street during rains,Road Maintenance,7
Water tanker did not arrive in Velachery as scheduled,Water Supply,11
No security personnel at the public park in Vadapalani,Public Safety,5
Live wire lying on School Lane poses electrocution risk,Public Safety,5
No bus service available to Block C after 8 pm,Public Transport,6
Frequent power cuts are occurring in Pallavaram,Electricity,2
School building near Gandhi Street needs urgent repair,Education,1
Teacher is absent regularly at the Anna Nagar government school,Education,1
Contaminated water is being supplied in Kodambakkam,Water Supply,11
Ambulance service is delayed in the industrial estate,Health,4
No specialist doctor visits the Alwarpet health center,Health,4
Hospital in Anna Nagar lacks cleanliness and hygiene,Health,4
Ambulance service is delayed in Velachery,Health,4
Deep pit left uncovered near Gandhi Street in the industrial estate,Public Safety,5
Last bus timing has been cancelled for the main market road,Public Transport,6
Dark stretch on South Street due to broken street lights,Street Lighting,8
Official at the Chromepet office is demanding money for a certificate,Corruption,0
Encroachment on the lake near T Nagar is destroying wetlands,Environment,3
Primary health center in Ward 12 is understaffed,Health,4
Abandoned building near South Street is unsafe for children,Public Safety,5
Encroachment on the lake near Phase 2 is destroying wetlands,Environment,3
Bribe was demanded for issuing a building permit in the housing board colony,Corruption,0
Solar street lights installed in Kolathur are non functional,Street Lighting,8
"No signal at the school crossing near School Lane, Adyar",Traffic,9
Segregated waste is being mixed by collection staff in the industrial estate,Waste Management,10
Burning of waste is causing smoke in Guindy,Environment,3
Bus frequency has reduced drastically on T Nagar route,Public Transport,6
Exposed wires near North Street pose a danger to residents,Electricity,2
Frequent traffic congestion on MG Road during peak hours,Traffic,9
Overcrowded buses are running on the Sector 5 route,Public Transport,6
Broken compound wall near Main Road is a safety hazard,Public Safety,5
Illegal tree cutting is happening near Ring Road in Adyar,Environment,3
Exposed wires near MG Road pose a danger to residents,Electricity,2
Long waiting times reported at Kolathur government hospital,Health,4
Public dustbin near Ring Road is broken and overflowing,Waste Management,10
Last bus timing has been cancelled for Alwarpet,Public Transport,6
Water body near Royapettah is being polluted by industrial waste,Environment,3
Frequent traffic congestion on Church Street during peak hours,Traffic,9
Newly laid road on South Street is already damaged,Road Maintenance,7
Newly laid road on Bypass Road is already damaged,Road Maintenance,7
Frequent power cuts are occurring in Royapettah,Electricity,2
Textbooks not distributed on time in T Nagar schools,Education,1
Overhead tank in Sector 5 has not been cleaned in months,Water Supply,11
Streetside electric meter is sparking in Porur,Electricity,2
Dark stretch on Park Avenue due to broken street lights,Street Lighting,8
Government hospital near Park Avenue lacks basic medicines,Health,4
Overhead tank in Tambaram has not been cleaned in months,Water Supply,11
"Street lights remain on during daytime in Pallavaram, wasting power",Street Lighting,8
Speed breakers are missing near the school on Bypass Road,Road Maintenance,7
No specialist doctor visits the Alwarpet health center,Health,4
A clerk is taking bribes for water connection approvals in Saidapet,Corruption,0
"No footpath available on Station Road, pedestrians face danger",Road Maintenance,7
Huge potholes on Nehru Street in Phase 2,Road Maintenance,7
Hospital in Ambattur lacks cleanliness and hygiene,Health,4
Power supply tripped and not restored for 10 hours in Velachery,Electricity,2
Huge potholes on Bypass Road in Adyar,Road Maintenance,7
Newly laid road on MG Road is already damaged,Road Maintenance,7
Live wire lying on Park Avenue poses electrocution risk,Public Safety,5
Contaminated water is being supplied in Nungambakkam,Water Supply,11
Traffic signal timing is too short at MG Road,Traffic,9
Road divider near Station Road is broken,Road Maintenance,7
Abandoned building near Station Road is unsafe for children,Public Safety,5
Newly laid road on School Lane is already damaged,Road Maintenance,7
Unsafe construction site near Ring Road lacks barricades,Public Safety,5
Frequent traffic congestion on MG Road during peak hours,Traffic,9
Primary health center in Alwarpet is understaffed,Health,4
Electric pole near Gandhi Street is leaning dangerously,Electricity,2
Traffic signal timing is too short at School Lane,Traffic,9
Overhead tank in Sector 5 has not been cleaned in months,Water Supply,11
Textbooks not distributed on time in Ambattur schools,Education,1
"New street light pole is needed on Gandhi Street, Egmore",Street Lighting,8
Illegal sand mining reported near Ward 12,Environment,3
Broken compound wall near Ring Road is a safety hazard,Public Safety,5
Broken compound wall near Station Road is a safety hazard,Public Safety,5
Signboards are missing at the Ring Road intersection,Traffic,9
No waste collection service provided in Block C colony,Waste Management,10
No traffic police present at busy junction near Station Road,Traffic,9
New electricity connection is delayed in near the temple,Electricity,2
Official at the the old bus stand area office is demanding money for a certificate,Corruption,0
No security personnel at the public park in Tambaram,Public Safety,5
Money was demanded for processing a pension application in Ward 12,Corruption,0
School lacks drinking water facility in the government school area,Education,1
Borewell in Pallavaram has run dry,Water Supply,11
Street lights are not working on North Street in Ward 12,Street Lighting,8
There is no drinking water in Guindy for the past 12 days,Water Supply,11
Primary health center in Guindy is understaffed,Health,4
"New street light pole is needed on Station Road, Mylapore",Street Lighting,8
Segregated waste is being mixed by collection staff in Adyar,Waste Management,10
"No signal at the school crossing near Station Road, the main market road",Traffic,9
Bus frequency has reduced drastically on Royapettah route,Public Transport,6
Air pollution levels are high near the factory in Guindy,Environment,3
No security personnel at the public park in Egmore,Public Safety,5
Streetside electric meter is sparking in Sector 5,Electricity,2
Bus conductor misbehaved with passengers on the housing board colony route,Public Transport,6
13 street lights have been off for weeks near Temple Street,Street Lighting,8
No security personnel at the public park in the main market road,Public Safety,5
Bus conductor misbehaved with passengers on Block C route,Public Transport,6
Electricity is unavailable in Pallavaram for the past 13 days,Electricity,2
Illegal sand mining reported near Adyar,Environment,3
Mid day meal quality is poor at Mylapore school,Education,1
Power supply tripped and not restored for 6 hours in Velachery,Electricity,2
Textbooks not distributed on time in the industrial estate schools,Education,1
Power supply tripped and not restored for 6 hours in the old bus stand area,Electricity,2
Water tanker did not arrive in Perambur as scheduled,Water Supply,11
Textbooks not distributed on time in the railway station road schools,Education,1
Bus stop shelter near North Street is damaged,Public Transport,6
Signboards are missing at the Main Road intersection,Traffic,9
Electricity is unavailable in Pallavaram for the past 14 days,Electricity,2
Billing error in electricity charges for Alwarpet residents,Electricity,2
Overcrowded classrooms reported in Kodambakkam government school,Education,1
Plastic waste dumped near the water body in the government school area,Environment,3
"No signal at the school crossing near Station Road, Egmore",Traffic,9
Contaminated water is being supplied in Vadapalani,Water Supply,11
Newly laid road on Ring Road is already damaged,Road Maintenance,7
Corruption reported in distribution of government scheme benefits in Tambaram,Corruption,0
No water connection provided despite application in Alwarpet,Water Supply,11
Illegal tree cutting is happening near Temple Street in Ward 12,Environment,3
Long waiting times reported at Sector 5 government hospital,Health,4
Water body near Nungambakkam is being polluted by industrial waste,Environment,3
"Low water pressure reported near Park Avenue, the housing board colony",Water Supply,11
"Traffic signal is damaged at Park Avenue junction, Porur",Traffic,9
Burning of waste is causing smoke in Guindy,Environment,3
A government official asked for extra money to process ration card in Kolathur,Corruption,0
Encroachment on the lake near Ward 12 is destroying wetlands,Environment,3
Overcrowded buses are running on the Block C route,Public Transport,6
No water connection provided despite application in Porur,Water Supply,11
Bus frequency has reduced drastically on the panchayat office area route,Public Transport,6
Huge potholes on School Lane in Adyar,Road Maintenance,7
Solar street lights installed in the railway station road are non functional,Street Lighting,8
"New street light pole is needed on Bazaar Street, Adyar",Street Lighting,8
Money was demanded for processing a pension application in the railway station road,Corruption,0
Textbooks not distributed on time in Porur schools,Education,1
Hospital in the government school area has no doctors available,Health,4
No science teacher appointed at Pallavaram school for 10 months,Education,1
Transformer near Bazaar Street in Kolathur is not working,Electricity,2
Borewell in Ward 12 has run dry,Water Supply,11
Hospital in Porur has no doctors available,Health,4
Auto drivers are refusing to use the meter near Bypass Road,Public Transport,6
Government hospital near Temple Street lacks basic medicines,Health,4
Water pipe burst near Park Avenue in Mylapore,Water Supply,11
Overcrowded buses are running on the Saidapet route,Public Transport,6
Garbage is overflowing near Gandhi Street in Alwarpet,Waste Management,10
School lacks drinking water facility in Alwarpet,Education,1
A contractor is taking bribes for water connection approvals in Ward 12,Corruption,0
Encroachment on the lake near Ambattur is destroying wetlands,Environment,3
No waste collection service provided in Alwarpet colony,Waste Management,10
Waterlogging occurs on South Street during rains,Road Maintenance,7
"Traffic signal is damaged at Church Street junction, the government school area",Traffic,9
There is no drinking water in the old bus stand area for the past 13 days,Water Supply,11
Textbooks not distributed on time in the old bus stand area schools,Education,1
Ambulance service is delayed in Pallavaram,Health,4
Overcrowded buses are running on the the panchayat office area route,Public Transport,6
Bribe was demanded for issuing a building permit in Tambaram,Corruption,0
No waste collection service provided in Nungambakkam colony,Waste Management,10
Bribe was demanded for issuing a building permit in Mylapore,Corruption,0
Overcrowded classrooms reported in near the temple government school,Education,1
Abandoned building near MG Road is unsafe for children,Public Safety,5
Electric pole near Ring Road is leaning dangerously,Electricity,2
A contractor is taking bribes for water connection approvals in Alwarpet,Corruption,0
Live wire lying on South Street poses electrocution risk,Public Safety,5
Encroachment on the lake near Phase 2 is destroying wetlands,Environment,3
Long waiting times reported at Sector 5 government hospital,Health,4
Frequent traffic congestion on Church Street during peak hours,Traffic,9
Someone demanded a bribe for approval of a document in Pallavaram,Corruption,0
Money was demanded for processing a pension application in Kodambakkam,Corruption,0
Signboards are missing at the Station Road intersection,Traffic,9
Unsafe construction site near Nehru Street lacks barricades,Public Safety,5
Electricity is unavailable in Porur for the past 4 days,Electricity,2
Last bus timing has been cancelled for Alwarpet,Public Transport,6
Air pollution levels are high near the factory in Pallavaram,Environment,3
Unsafe construction site near Gandhi Street lacks barricades,Public Safety,5
Exposed wires near Temple Street pose a danger to residents,Electricity,2
School building near MG Road needs urgent repair,Education,1
No specialist doctor visits the Adyar health center,Health,4
Power supply tripped and not restored for 13 hours in Pallavaram,Electricity,2
Transformer near Park Avenue in the railway station road is not working,Electricity,2
Burning of waste is causing smoke in Egmore,Environment,3
Hospital in the main market road lacks cleanliness and hygiene,Health,4
Water tanker did not arrive in Anna Nagar as scheduled,Water Supply,11
Segregated waste is being mixed by collection staff in the main market road,Waste Management,10
2 street lights have been off for weeks near Station Road,Street Lighting,8
"No footpath available on Station Road, pedestrians face danger",Road Maintenance,7
Bus conductor misbehaved with passengers on the industrial estate route,Public Transport,6
Leaking pipeline is wasting water on Station Road,Water Supply,11
No traffic police present at busy junction near Park Avenue,Traffic,9
Bus service is irregular on the Ward 12 route,Public Transport,6
Bus frequency has reduced drastically on Velachery route,Public Transport,6
A middleman asked for extra money to process ration card in the panchayat office area,Corruption,0
Ambulance service is delayed in Ward 12,Health,4
School lacks drinking water facility in Velachery,Education,1
Street light wiring is exposed and dangerous in T Nagar,Street Lighting,8
Overcrowded classrooms reported in Kodambakkam government school,Education,1
Garbage collection truck has not come to Royapettah for 11 days,Waste Management,10
Illegal dumping of waste is happening near Temple Street,Waste Management,10
Frequent traffic congestion on Bypass Road during peak hours,Traffic,9
Transformer near Bypass Road in the industrial estate is not working,Electricity,2
Contaminated water is being supplied in Ambattur,Water Supply,11
New electricity connection is delayed in Anna Nagar,Electricity,2
No specialist doctor visits the Saidapet health center,Health,4
Money was demanded for processing a pension application in Sector 5,Corruption,0
Overcrowded buses are running on the Porur route,Public Transport,6
Solar street lights installed in Mylapore are non functional,Street Lighting,8
Overcrowded buses are running on the Alwarpet route,Public Transport,6
School lacks drinking water facility in Perambur,Education,1
No traffic police present at busy junction near Market Road,Traffic,9
An officer at the counter asked for extra money to process ration card in T Nagar,Corruption,0
Garbage collection truck has not come to Sector 5 for 10 days,Waste Management,10
Illegal sand mining reported near the government school area,Environment,3
Waterlogging occurs on Bypass Road during rains,Road Maintenance,7
Street light flickers continuously on Main Road,Street Lighting,8
Huge potholes on MG Road in Phase 2,Road Maintenance,7
Dead animal left uncollected on Temple Street in the main market road,Waste Management,10
Public dustbin near Church Street is broken and overflowing,Waste Management,10
Huge potholes on Main Road in Adyar,Road Maintenance,7
Voltage fluctuation is damaging appliances in the old bus stand area,Electricity,2
Illegal tree cutting is happening near Station Road in Egmore,Environment,3
No science teacher appointed at Anna Nagar school for 6 months,Education,1
Deep pit left uncovered near Temple Street in Saidapet,Public Safety,5
Water body near Pallavaram is being polluted by industrial waste,Environment,3
Water tanker did not arrive in Perambur as scheduled,Water Supply,11
Frequent power cuts are occurring in Alwarpet,Electricity,2
Burning of waste is causing smoke in Kolathur,Environment,3
Official at the Phase 2 office is demanding money for a certificate,Corruption,0
Long waiting times reported at Kodambakkam government hospital,Health,4
Bus conductor misbehaved with passengers on Mylapore route,Public Transport,6
Road near Station Road has not been repaired after monsoon,Road Maintenance,7
Bus service is irregular on the the railway station road route,Public Transport,6
A middleman asked for extra money to process ration card in Block C,Corruption,0
Voltage fluctuation is damaging appliances in Chromepet,Electricity,2
Waterlogging occurs on Church Street during rains,Road Maintenance,7
Borewell in Ward 12 has run dry,Water Supply,11
Overcrowded buses are running on the the panchayat office area route,Public Transport,6
Deep pit left uncovered near Gandhi Street in Anna Nagar,Public Safety,5
Government hospital near Bazaar Street lacks basic medicines,Health,4
Primary health center in Anna Nagar is understaffed,Health,4
School in Perambur lacks proper toilet facilities,Education,1
Hospital in Kodambakkam lacks cleanliness and hygiene,Health,4
There is no drinking water in Kolathur for the past 5 days,Water Supply,11
Street light flickers continuously on South Street,Street Lighting,8
Live wire lying on School Lane poses electrocution risk,Public Safety,5
Traffic signal timing is too short at Main Road,Traffic,9
Vaccination camp was cancelled without notice in Royapettah,Health,4
Bribe was demanded for issuing a building permit in Mylapore,Corruption,0
Traffic signal timing is too short at Bazaar Street,Traffic,9
No bus service available to Porur after 8 pm,Public Transport,6
Official at the Kolathur office is demanding money for a certificate,Corruption,0
No water connection provided despite application in the old bus stand area,Water Supply,11
Road divider near Station Road is broken,Road Maintenance,7
Road near Church Street has not been repaired after monsoon,Road Maintenance,7
New electricity connection is delayed in Tambaram,Electricity,2
Voltage fluctuation is damaging appliances in Mylapore,Electricity,2
No traffic police present at busy junction near Station Road,Traffic,9
Streetside electric meter is sparking in Chromepet,Electricity,2
An officer at the counter is taking bribes for water connection approvals in Perambur,Corruption,0
Hospital in Kolathur has no doctors available,Health,4
Long waiting times reported at Ward 12 government hospital,Health,4
Traffic signal timing is too short at School Lane,Traffic,9
Traffic signal timing is too short at Ring Road,Traffic,9
Live wire lying on Church Street poses electrocution risk,Public Safety,5
There is no drinking water in Anna Nagar for the past 7 days,Water Supply,11
Primary health center in the railway station road is understaffed,Health,4
Mid day meal quality is poor at Kodambakkam school,Education,1
Waterlogging occurs on Church Street during rains,Road Maintenance,7
School building near Ring Road needs urgent repair,Education,1
Billing error in electricity charges for the main market road residents,Electricity,2
Construction debris left on Station Road blocking traffic,Road Maintenance,7
No science teacher appointed at near the temple school for 3 months,Education,1
Vaccination camp was cancelled without notice in the old bus stand area,Health,4
New electricity connection is delayed in Kolathur,Electricity,2
School building near Bypass Road needs urgent repair,Education,1
Water tanker did not arrive in Chromepet as scheduled,Water Supply,11
"Low water pressure reported near Gandhi Street, Porur",Water Supply,11
Textbooks not distributed on time in Pallavaram schools,Education,1
Exposed wires near Station Road pose a danger to residents,Electricity,2
Billing error in electricity charges for near the temple residents,Electricity,2
No science teacher appointed at Pallavaram school for 6 months,Education,1
School building near Park Avenue needs urgent repair,Education,1
Overcrowded buses are running on the near the temple route,Public Transport,6
Garbage collection truck has not come to Velachery for 3 days,Waste Management,10
Speed breakers are missing near the school on North Street,Road Maintenance,7
Illegal sand mining reported near the old bus stand area,Environment,3
Hospital in the industrial estate has no doctors available,Health,4
Water tanker did not arrive in the panchayat office area as scheduled,Water Supply,11
An officer at the counter is taking bribes for water connection approvals in Royapettah,Corruption,0
Auto drivers are refusing to use the meter near Nehru Street,Public Transport,6
Road divider near North Street is broken,Road Maintenance,7
No security personnel at the public park in Phase 2,Public Safety,5
Exposed wires near Station Road pose a danger to residents,Electricity,2
13 street lights have been off for weeks near Main Road,Street Lighting,8
Garbage collection truck has not come to Saidapet for 4 days,Waste Management,10
No specialist doctor visits the Block C health center,Health,4
Voltage fluctuation is damaging appliances in the housing board colony,Electricity,2
School building near South Street needs urgent repair,Education,1
No specialist doctor visits the T Nagar health center,Health,4
Teacher is absent regularly at the Kolathur government school,Education,1
Speed breakers are missing near the school on Ring Road,Road Maintenance,7
12 street lights have been off for weeks near Bazaar Street,Street Lighting,8
Dark stretch on North Street due to broken street lights,Street Lighting,8
Illegal parking is causing traffic jams on Main Road,Traffic,9
No security personnel at the public park in Adyar,Public Safety,5
Primary health center in Sector 5 is understaffed,Health,4
Textbooks not distributed on time in the government school area schools,Education,1
No waste collection service provided in Kodambakkam colony,Waste Management,10
Signboards are missing at the Bazaar Street intersection,Traffic,9
Bus service is irregular on the Ambattur route,Public Transport,6
Dumping ground near Mylapore is causing bad odor,Waste Management,10
No water connection provided despite application in Sector 5,Water Supply,11
Bus stop shelter near Station Road is damaged,Public Transport,6
Water supply has been irregular in Anna Nagar for 9 weeks,Water Supply,11
Overcrowded classrooms reported in the main market road government school,Education,1
Voltage fluctuation is damaging appliances in Alwarpet,Electricity,2
Leaking pipeline is wasting water on Bazaar Street,Water Supply,11
Street light flickers continuously on Bazaar Street,Street Lighting,8
Street light wiring is exposed and dangerous in Ambattur,Street Lighting,8
Zebra crossing markings have faded on Nehru Street,Traffic,9
Money was demanded for processing a pension application in the railway station road,Corruption,0
Bribe was demanded for issuing a building permit in Saidapet,Corruption,0
Hospital in Porur has no doctors available,Health,4
Speed breakers are missing near the school on North Street,Road Maintenance,7
Illegal dumping of waste is happening near Ring Road,Waste Management,10
Street lights are not working on MG Road in near the temple,Street Lighting,8
School lacks drinking water facility in Porur,Education,1
Plastic waste dumped near the water body in Nungambakkam,Environment,3
Overcrowded buses are running on the the industrial estate route,Public Transport,6
Official at the Chromepet office is demanding money for a certificate,Corruption,0
5 street lights have been off for weeks near Bypass Road,Street Lighting,8
New electricity connection is delayed in Royapettah,Electricity,2
Road near Park Avenue has not been repaired after monsoon,Road Maintenance,7
Vaccination camp was cancelled without notice in the panchayat office area,Health,4
"No signal at the school crossing near North Street, the industrial estate",Traffic,9
There is no drinking water in the industrial estate for the past 11 days,Water Supply,11
Solar street lights installed in Anna Nagar are non functional,Street Lighting,8
Street light flickers continuously on North Street,Street Lighting,8
Hospital in the government school area has no doctors available,Health,4
Dark stretch on School Lane due to broken street lights,Street Lighting,8
Street light wiring is exposed and dangerous in Kodambakkam,Street Lighting,8
"No footpath available on Bypass Road, pedestrians face danger",Road Maintenance,7
Stray dogs are attacking residents in Kolathur,Public Safety,5
Bus conductor misbehaved with passengers on Anna Nagar route,Public Transport,6
Illegal tree cutting is happening near Church Street in Ambattur,Environment,3
Electric pole near Nehru Street is leaning dangerously,Electricity,2
"Low water pressure reported near Temple Street, Porur",Water Supply,11
Voltage fluctuation is damaging appliances in the main market road,Electricity,2
School building near Ring Road needs urgent repair,Education,1
School in the government school area lacks proper toilet facilities,Education,1
Street light flickers continuously on Church Street,Street Lighting,8
Billing error in electricity charges for Adyar residents,Electricity,2
Public dustbin near Market Road is broken and overflowing,Waste Management,10
Hospital in Tambaram has no doctors available,Health,4
"Low water pressure reported near Gandhi Street, Vadapalani",Water Supply,11
Deep pit left uncovered near Temple Street in Saidapet,Public Safety,5
Corruption reported in distribution of government scheme benefits in the old bus stand area,Corruption,0
Street light wiring is exposed and dangerous in near the temple,Street Lighting,8
Dark stretch on Ring Road due to broken street lights,Street Lighting,8
"No footpath available on Bypass Road, pedestrians face danger",Road Maintenance,7
"Traffic signal is damaged at Park Avenue junction, Nungambakkam",Traffic,9
No security personnel at the public park in Royapettah,Public Safety,5
Borewell in the panchayat office area has run dry,Water Supply,11
Street lights are not working on Temple Street in the industrial estate,Street Lighting,8
Ambulance service is delayed in the main market road,Health,4
Overcrowded classrooms reported in the government school area government school,Education,1
Plastic waste dumped near the water body in Ward 12,Environment,3
Exposed wires near Bypass Road pose a danger to residents,Electricity,2
Bus conductor misbehaved with passengers on near the temple route,Public Transport,6
Dead animal left uncollected on Church Street in the main market road,Waste Management,10
4 street lights have been off for weeks near Park Avenue,Street Lighting,8
Broken compound wall near MG Road is a safety hazard,Public Safety,5
Bus service is irregular on the Royapettah route,Public Transport,6
No science teacher appointed at Chromepet school for 14 months,Education,1
"Street lights remain on during daytime in the panchayat office area, wasting power",Street Lighting,8
Last bus timing has been cancelled for Adyar,Public Transport,6
An officer at the counter asked for extra money to process ration card in Mylapore,Corruption,0
Overcrowded classrooms reported in Anna Nagar government school,Education,1
Road divider near MG Road is broken,Road Maintenance,7
Bus conductor misbehaved with passengers on Sector 5 route,Public Transport,6
Deep pit left uncovered near North Street in Vadapalani,Public Safety,5
Illegal dumping of waste is happening near Bypass Road,Waste Management,10
Leaking pipeline is wasting water on Main Road,Water Supply,11
Stray dogs are attacking residents in the government school area,Public Safety,5
Abandoned building near North Street is unsafe for children,Public Safety,5
Exposed wires near Gandhi Street pose a danger to residents,Electricity,2
No waste collection service provided in Kolathur colony,Waste Management,10
Garbage is overflowing near Ring Road in Kodambakkam,Waste Management,10
Unsafe construction site near Main Road lacks barricades,Public Safety,5
Streetside electric meter is sparking in the industrial estate,Electricity,2
Open manhole causing danger on School Lane in Pallavaram,Public Safety,5
Illegal dumping of waste is happening near Church Street,Waste Management,10
Voltage fluctuation is damaging appliances in the old bus stand area,Electricity,2
School building near Church Street needs urgent repair,Education,1
Stray dogs are attacking residents in Vadapalani,Public Safety,5
A municipal worker asked for extra money to process ration card in Chromepet,Corruption,0
Money was demanded for processing a pension application in Royapettah,Corruption,0
11 street lights have been off for weeks near Market Road,Street Lighting,8
A municipal worker is taking bribes for water connection approvals in T Nagar,Corruption,0
Illegal parking is causing traffic jams on Gandhi Street,Traffic,9
Official at the Saidapet office is demanding money for a certificate,Corruption,0
Borewell in near the temple has run dry,Water Supply,11
Plastic waste dumped near the water body in Alwarpet,Environment,3
No security personnel at the public park in Perambur,Public Safety,5
"Traffic signal is damaged at Temple Street junction, the main market road",Traffic,9
Garbage is overflowing near MG Road in Sector 5,Waste Management,10
Waterlogging occurs on School Lane during rains,Road Maintenance,7
Electric pole near Park Avenue is leaning dangerously,Electricity,2
Newly laid road on Bazaar Street is already damaged,Road Maintenance,7
Dumping ground near near the temple is causing bad odor,Waste Management,10
Construction debris left on North Street blocking traffic,Road Maintenance,7
Signboards are missing at the North Street intersection,Traffic,9
Burning of waste is causing smoke in Kodambakkam,Environment,3
Construction debris left on Temple Street blocking traffic,Road Maintenance,7
Stray dogs are attacking residents in Pallavaram,Public Safety,5
Illegal tree cutting is happening near Main Road in Sector 5,Environment,3
Segregated waste is being mixed by collection staff in the housing board colony,Waste Management,10
Exposed wires near Station Road pose a danger to residents,Electricity,2
Auto drivers are refusing to use the meter near North Street,Public Transport,6
"No footpath available on School Lane, pedestrians face danger",Road Maintenance,7
Solar street lights installed in Kodambakkam are non functional,Street Lighting,8
Burning of waste is causing smoke in Nungambakkam,Environment,3
Overcrowded classrooms reported in the housing board colony government school,Education,1
"Traffic signal is damaged at Park Avenue junction, Kolathur",Traffic,9
"New street light pole is needed on Gandhi Street, Vadapalani",Street Lighting,8
Road near Temple Street has not been repaired after monsoon,Road Maintenance,7
Solar street lights installed in near the temple are non functional,Street Lighting,8
Dead animal left uncollected on North Street in Tambaram,Waste Management,10
Illegal dumping of waste is happening near Nehru Street,Waste Management,10
Traffic signal timing is too short at Nehru Street,Traffic,9
Overcrowded buses are running on the T Nagar route,Public Transport,6
Ambulance service is delayed in Ambattur,Health,4
A contractor is taking bribes for water connection approvals in Pallavaram,Corruption,0
Transformer near Bazaar Street in Phase 2 is not working,Electricity,2
Billing error in electricity charges for Egmore residents,Electricity,2
Government hospital near School Lane lacks basic medicines,Health,4
Money was demanded for processing a pension application in Vadapalani,Corruption,0
Air pollution levels are high near the factory in the railway station road,Environment,3
Newly laid road on Park Avenue is already damaged,Road Maintenance,7
A local shopkeeper asked for extra money to process ration card in the housing board colony,Corruption,0
Billing error in electricity charges for Tambaram residents,Electricity,2
School lacks drinking water facility in Perambur,Education,1
Unsafe construction site near Park Avenue lacks barricades,Public Safety,5
Power supply tripped and not restored for 10 hours in Kodambakkam,Electricity,2
Corruption reported in distribution of government scheme benefits in Tambaram,Corruption,0
Corruption reported in distribution of government scheme benefits in Porur,Corruption,0
Transformer near Temple Street in Mylapore is not working,Electricity,2
Electric pole near Ring Road is leaning dangerously,Electricity,2
Government hospital near Station Road lacks basic medicines,Health,4
Stray dogs are attacking residents in the housing board colony,Public Safety,5
A contractor is taking bribes for water connection approvals in Egmore,Corruption,0
New electricity connection is delayed in Nungambakkam,Electricity,2
No science teacher appointed at Anna Nagar school for 6 months,Education,1
Traffic signal timing is too short at Nehru Street,Traffic,9
"No signal at the school crossing near North Street, Phase 2",Traffic,9
Water tanker did not arrive in Guindy as scheduled,Water Supply,11
Huge potholes on Main Road in the housing board colony,Road Maintenance,7
Air pollution levels are high near the factory in Kodambakkam,Environment,3
Dead animal left uncollected on Bazaar Street in Kodambakkam,Waste Management,10
Dumping ground near the old bus stand area is causing bad odor,Waste Management,10
School building near North Street needs urgent repair,Education,1
Burning of waste is causing smoke in Anna Nagar,Environment,3
School lacks drinking water facility in Anna Nagar,Education,1
Exposed wires near Church Street pose a danger to residents,Electricity,2
Unsafe construction site near Market Road lacks barricades,Public Safety,5
Stray dogs are attacking residents in Tambaram,Public Safety,5
"No footpath available on Ring Road, pedestrians face danger",Road Maintenance,7
Money was demanded for processing a pension application in Porur,Corruption,0
School lacks drinking water facility in Royapettah,Education,1
Stray dogs are attacking residents in Velachery,Public Safety,5
Power supply tripped and not restored for 6 hours in Mylapore,Electricity,2
Illegal dumping of waste is happening near Bypass Road,Waste Management,10
Official at the Vadapalani office is demanding money for a certificate,Corruption,0
A government official is taking bribes for water connection approvals in near the temple,Corruption,0
